Currency,Rate
AED,3.945004
AFN,84.549554
ALL,106.510972
AMD,411.890388
ANG,1.927887
AOA,889.838089
ARS,375.888582
AUD,1.676117
AWG,1.93327
AZN,1.828811
BAM,1.952344
BBD,2.159877
BDT,117.402189
BGN,1.955041
BHD,0.404941
BIF,3029.737135
BMD,1.074039
BND,1.45732
BOB,7.391916
BRL,5.314349
BSD,1.069707
BTC,4.1480139e-05
BTN,88.707793
BWP,14.573069
BYN,2.70062
BYR,21051.161842
BZD,2.156183
CAD,1.457132
CDF,2680.801064
CHF,0.957366
CLF,0.034744
CLP,958.697628
CNY,7.822763
COP,4279.325289
CRC,574.882414
CUC,1.074039
CUP,28.46203
CVE,110.048688
CZK,24.601451
DJF,190.462866
DKK,7.45974
DOP,60.732499
DZD,147.409683
EGP,33.24301
ERN,16.110583
ETB,59.131633
EUR,1.0
FJD,2.438818
FKP,0.857445
GBP,0.862297
GEL,2.813993
GGP,0.857445
GHS,12.24233
GIP,0.857445
GMD,64.982641
GNF,9182.745841
GTQ,8.422445
GYD,223.793868
HKD,8.404838
HNL,26.352354
HRK,7.531723
HTG,144.414376
HUF,385.533234
IDR,16507.279298
ILS,4.095794
IMP,0.857445
INR,89.072675
IQD,1400.920265
IRR,45380.825775
ISK,143.70634
JEP,0.857445
JMD,165.107747
JOD,0.760632
JPY,158.156503
KES,157.454865
KGS,94.933914
KHR,4410.193622
KMF,492.930516
KPW,966.592258
KRW,1427.752432
KWD,0.331554
KYD,0.891422
KZT,495.45301
LAK,21046.745659
LBP,16110.58342
LKR,345.797911
LRD,200.254796
LSL,20.309763
LTL,3.171357
LVL,0.649676
LYD,5.187817
MAD,10.907992
MDL,19.227965
MGA,4835.440902
MKD,61.608339
MMK,2246.423659
MNT,3732.076878
MOP,8.62673
MRO,383.431692
MUR,48.118296
MVR,16.519016
MWK,1176.018358
MXN,18.532906
MYR,5.029784
MZN,67.932905
NAD,20.310314
NGN,827.90142
NIO,39.140718
NOK,11.471862
NPR,141.93177
NZD,1.82085
OMR,0.413498
PAB,1.069707
PEN,3.953203
PGK,3.915034
PHP,60.867396
PKR,320.482629
PLN,4.675297
PYG,7783.223103
QAR,3.910592
RON,4.969467
RSD,117.278562
RUB,102.084711
RWF,1288.818693
SAR,4.028708
SBD,9.042173
SCR,13.871958
SDG,645.378884
SEK,11.932947
SGD,1.463276
SHP,1.306837
SLE,23.791361
SLL,21212.267295
SOS,611.716004
SSP,646.03593
SRD,41.04112
STD,22230.436122
SYP,13963.630818
SZL,20.251154
THB,38.360906
TJS,11.745464
TMT,3.769876
TND,3.363084
TOP,2.56937
TRY,28.92536
TTD,7.257154
TWD,34.355708
TZS,2690.467479
UAH,39.313312
UGX,3981.951643
USD,1.074039
UYU,40.797785
UZS,13010.969594
VEF,3576129.806606
VES,35.760603
VND,25948.779086
VUV,131.311735
WST,3.001289
XAF,654.797958
XAG,0.047033
XAU,0.000562
XCD,2.902644
XDR,0.808968
XOF,654.797958
XPF,119.858066
YER,268.858757
ZAR,20.338005
ZMK,9667.657323
ZMW,22.437284
ZWL,345.840078
